p,d,q,P,D,Q,s,AIC,BIC
1,1,1,1,1,1,24,389169.42204383196,389210.29915017204
1,1,0,1,1,1,24,390511.2726622247,390543.97449967486
1,1,1,0,1,1,24,390703.47194608446,390736.17363115656
0,1,1,1,1,1,24,390711.22310248495,390743.92478755704
0,1,1,0,1,1,24,392311.80185970373,392336.3281235078
1,1,0,0,1,1,24,392546.2300599379,392570.7564380255
1,1,1,1,1,0,24,395767.7271785553,395800.4290160054
1,1,0,1,1,0,24,397216.32457956887,397240.85095765645
0,1,1,1,1,0,24,397618.935466772,397643.4619591388
1,1,1,0,1,0,24,397899.93654767313,397924.46555308125
1,1,0,0,1,0,24,398908.21765061055,398924.57039700204
0,1,1,0,1,0,24,399631.61400374817,399647.9666740202
0,1,0,1,1,1,24,400406.1140981549,400430.64047624246
0,1,0,0,1,1,24,402872.0656041308,402888.41652285587
0,1,0,1,1,0,24,407842.07748136454,407858.4284762757
0,1,0,0,1,0,24,409060.7661356275,409068.94250882324
