p,d,q,P,D,Q,s,AIC,BIC
1,1,1,1,1,1,24,451701.4005566456,451742.2728988119
0,1,1,1,1,1,24,452165.3522717139,452198.05014544696
1,1,0,1,1,1,24,452178.1672698199,452210.8652960762
0,1,0,1,1,1,24,452214.43019672326,452238.95371641556
1,1,1,0,1,1,24,452561.1989822311,452593.89685596415
0,1,1,0,1,1,24,452599.6124588399,452624.1358641397
1,1,0,0,1,1,24,452615.59801126184,452640.12153095414
0,1,0,0,1,1,24,452818.45176422154,452834.80077734974
1,1,0,1,1,0,24,458068.9243226594,458093.4478423517
0,1,1,1,1,0,24,458098.73764476064,458123.261278841
0,1,0,1,1,0,24,458187.4926247387,458203.84171412565
1,1,1,1,1,0,24,458273.7138811529,458306.41190740926
1,1,1,0,1,0,24,462294.7183526887,462319.2445022049
1,1,0,0,1,0,24,462347.07715023845,462363.42799277446
0,1,1,0,1,0,24,462380.52043436543,462396.87120070955
0,1,0,0,1,0,24,462883.8954576795,462892.07087894756
