p,d,q,P,D,Q,s,AIC,BIC
1,1,1,1,1,1,24,821680.1444742084,821724.2782436991
1,1,1,0,1,1,24,824346.8983872563,824382.2054028489
1,1,0,1,1,1,24,824570.3381661854,824605.6452612211
0,1,1,1,1,1,24,825114.4732507395,825149.7802663321
1,1,0,0,1,1,24,827840.243862608,827866.7241838848
0,1,1,0,1,1,24,827943.8590816245,827970.339343319
1,1,1,1,1,0,24,836138.9001047078,836174.2071997435
1,1,0,1,1,0,24,839275.5325144016,839302.0128356784
1,1,1,0,1,0,24,840279.1769417425,840305.6586330864
0,1,1,1,1,0,24,840329.7019073275,840356.1822881855
1,1,0,0,1,0,24,842710.3515531679,842728.0060537665
0,1,1,0,1,0,24,844107.2286426432,844124.8831035391
0,1,0,1,1,1,24,847256.989914638,847283.4702359148
0,1,0,0,1,1,24,850217.8468028505,850235.5003503683
0,1,0,1,1,0,24,861869.6679098535,861887.3214970921
0,1,0,0,1,0,24,864262.8798251704,864271.7070754697
